Source,Platform,Title,Type,Original Price,Start/Discovery Date,End Date,URL
Web Search (Serper (Google)),Múltiplas,Jogos Grátis para Jogar,Portal / Oferta,Grátis / Desconto,13/08/2026,Enquanto durar o estoque,https://store.steampowered.com/genre/Free%20to%20Play
Web Search (Google/Bing),Múltiplas,O que está Grátis agora na Steam - gameplayscassi.com.br,Portal / Oferta,Grátis / Desconto,12/08/2026,Enquanto durar o estoque,https://gameplayscassi.com.br/noticias/o-que-esta-gratis-agora-na-steam/119866
Web Search (Google/Bing),Múltiplas,Jogos Grátis para PC: Top 50 Melhores Que Você Vai Amar,Portal / Oferta,Grátis / Desconto,12/08/2026,Enquanto durar o estoque,https://jogoparapc.com.br/jogos-gratis-para-pc
Web Search (Google/Bing),Múltiplas,www.epicgames.com,Portal / Oferta,Grátis / Desconto,12/08/2026,Enquanto durar o estoque,https://www.epicgames.com/site/epic-games-header
Web Search (Serper (Google)),Múltiplas,Revisão do ano de 2025 da Epic Games Store,Portal / Oferta,Grátis / Desconto,12/08/2026,Enquanto durar o estoque,https://store.epicgames.com/news/epic-games-store-2025-year-in-review
Web Search (Serper (Google)),Múltiplas,Os melhores jogos grátis para PC,Portal / Oferta,Grátis / Desconto,12/08/2026,Enquanto durar o estoque,https://store.epicgames.com/collection/top-free-to-play
Web Search (Serper (Google)),Múltiplas,Yet Another Zombie Defense HD,Portal / Oferta,Grátis / Desconto,11/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/674750/Yet_Another_Zombie_Defense_HD
Web Search (Serper (Google)),Múltiplas,Steamで100% OFF：AquaDream Soundtrack,Portal / Oferta,Grátis / Desconto,11/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/3502050
Web Search (Serper (Google)),Múltiplas,The Life and Suffering of Sir Brante on Steam,Portal / Oferta,Grátis / Desconto,10/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/1272160/The_Life_and_Suffering_of_Sir_Brante
Web Search (Serper (Google)),Múltiplas,Steamで100% OFF：World of Warships — Marblehead Lima,Portal / Oferta,Grátis / Desconto,10/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/934690/World_of_Warships__Marblehead_Lima
Web Search (Google/Bing),Múltiplas,"Best Video games, DRM-free | GOG.COM",Portal / Oferta,Grátis / Desconto,10/08/2026,Enquanto durar o estoque,https://www.gog.com/en/games
Web Search (Google/Bing),Múltiplas,Home - Epic Games,Portal / Oferta,Grátis / Desconto,10/08/2026,Enquanto durar o estoque,https://www.epicgames.com/site/home
Web Search (Serper (Google)),Múltiplas,Curador Steam: Jogos Grátis BR,Portal / Oferta,Grátis / Desconto,10/08/2026,Enquanto durar o estoque,https://store.steampowered.com/curator/6267774-Jogos-Gr%25C3%25A1tis-BR
Web Search (Serper (Google)),Múltiplas,Steamで100% OFF：Eets,Portal / Oferta,Grátis / Desconto,09/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/6100/Eets
Web Search (Serper (Google)),Múltiplas,Save 100% on Breathedge on Steam,Portal / Oferta,Grátis / Desconto,09/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/738520/Breathedge
Web Search (Google/Bing),Múltiplas,"List of DRM-free games on Steam, page 1 - Forum - GOG.com",Portal / Oferta,Grátis / Desconto,09/08/2026,Enquanto durar o estoque,https://www.gog.com/forum/general/list_of_drmfree_games_on_steam/page1
Web Search (Google/Bing),Múltiplas,Steam Curator: Jogos Leves Para PC Fracos,Portal / Oferta,Grátis / Desconto,09/08/2026,Enquanto durar o estoque,https://store.steampowered.com/curator/11987693-Jogos-Leves-Para-PC-Fracos
Web Search (Serper (Google)),Múltiplas,Como faço para resgatar jogos grátis na EGS para dispositivos ...,Portal / Oferta,Grátis / Desconto,09/08/2026,Enquanto durar o estoque,https://www.epicgames.com/help/pt-BR/c-202300000001639/c-202300000001731/como-faco-para-resgatar-jogos-gratis-na-egs-para-dispositivos-moveis-a202300000016454
Web Search (Serper (Google)),Múltiplas,Como baixar jogos para PC - Epic Games Store,Portal / Oferta,Grátis / Desconto,09/08/2026,Enquanto durar o estoque,https://store.epicgames.com/news/how-to-download-pc-games
Web Search (Serper (Google)),Múltiplas,Megapromoção da Epic Games | Economize em jogos para PC,Portal / Oferta,Grátis / Desconto,09/08/2026,Enquanto durar o estoque,https://store.epicgames.com/sales-and-specials/mega-sale
Web Search (Serper (Google)),Múltiplas,Steamで100% OFF：Breathedge,Portal / Oferta,Grátis / Desconto,08/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/738520/_
Web Search (Serper (Google)),Múltiplas,Car Mechanic Simulator 2018 on Steam,Portal / Oferta,Grátis / Desconto,08/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/645630/Car_Mechanic_Simulator_2018
Web Search (Serper (Google)),Múltiplas,Melhores jogos de corridas para PC – Epic Games Store,Portal / Oferta,Grátis / Desconto,08/08/2026,Enquanto durar o estoque,https://store.epicgames.com/news/best-racing-games-for-pc-epic-games
